X,actlevel,WEEK
2008-091,1.1764705882352942,1.0
2013-141,6.0754716981132075,1.0
2016-171,3.830188679245283,1.0
2015-161,1.7169811320754718,1.0
2011-121,1.3269230769230769,1.0
2014-151,6.509433962264151,1.0
2010-111,2.269230769230769,1.0
2012-131,7.4423076923076925,1.0
2017-181,7.226415094339623,1.0
2009-101,1.6153846153846154,1.0
2018-191,5.490566037735849,1.0
2014-152,6.660377358490566,2.0
2010-112,3.0576923076923075,2.0
2017-182,7.773584905660377,2.0
2013-142,5.433962264150943,2.0
2015-162,1.7358490566037736,2.0
2018-192,5.056603773584905,2.0
2009-102,1.5384615384615385,2.0
2011-122,1.25,2.0
2016-172,3.849056603773585,2.0
2008-092,1.2549019607843137,2.0
2012-132,7.5576923076923075,2.0
2008-093,1.4901960784313726,3.0
2013-143,5.188679245283019,3.0
2010-113,3.9615384615384617,3.0
2016-173,5.037735849056604,3.0
2009-103,1.6538461538461537,3.0
2014-153,7.226415094339623,3.0
2012-133,7.769230769230769,3.0
2018-193,5.943396226415095,3.0
2015-163,1.9811320754716981,3.0
2017-183,8.415094339622641,3.0
2011-123,1.3653846153846154,3.0
2011-124,1.4423076923076923,4.0
2016-174,5.60377358490566,4.0
2017-184,8.81132075471698,4.0
2014-154,6.754716981132075,4.0
2009-104,1.7115384615384615,4.0
2018-194,6.867924528301887,4.0
2010-114,4.980769230769231,4.0
2015-164,2.2830188679245285,4.0
2008-094,1.9215686274509804,4.0
2012-134,7.096153846153846,4.0
2013-144,5.30188679245283,4.0
2009-105,2.0576923076923075,5.0
2011-125,1.8076923076923077,5.0
2013-145,4.735849056603773,5.0
2016-175,6.528301886792453,5.0
2014-155,5.886792452830188,5.0
2012-135,6.1923076923076925,5.0
2010-115,5.788461538461538,5.0
2017-185,9.056603773584905,5.0
2008-095,2.8627450980392157,5.0
2018-195,7.452830188679245,5.0
2015-165,2.490566037735849,5.0
2008-096,3.843137254901961,6.0
2018-196,7.660377358490566,6.0
2017-186,9.09433962264151,6.0
2014-156,5.056603773584905,6.0
2009-106,1.8461538461538463,6.0
2016-176,7.113207547169812,6.0
2015-166,3.30188679245283,6.0
2010-116,5.8076923076923075,6.0
2012-136,5.0,6.0
2011-126,1.8269230769230769,6.0
2013-146,4.0754716981132075,6.0
2018-197,8.056603773584905,7.0
2009-107,1.8846153846153846,7.0
2010-117,6.384615384615385,7.0
2012-137,4.1923076923076925,7.0
2011-127,2.173076923076923,7.0
2017-187,8.679245283018869,7.0
2015-167,4.037735849056604,7.0
2013-147,3.188679245283019,7.0
2008-097,3.803921568627451,7.0
2014-157,4.433962264150943,7.0
2016-177,6.773584905660377,7.0
2013-148,2.641509433962264,8.0
2017-188,7.981132075471698,8.0
2015-168,4.471698113207547,8.0
2018-198,8.056603773584905,8.0
2011-128,2.3846153846153846,8.0
2016-178,6.509433962264151,8.0
2008-098,3.980392156862745,8.0
2012-138,3.576923076923077,8.0
2014-158,3.69811320754717,8.0
2010-118,5.788461538461538,8.0
2009-108,1.75,8.0
2016-179,5.113207547169812,9.0
2014-159,3.4716981132075473,9.0
2015-169,4.9245283018867925,9.0
2018-199,7.679245283018868,9.0
2009-109,1.8461538461538463,9.0
2012-139,2.826923076923077,9.0
2008-099,3.6862745098039214,9.0
2017-189,6.490566037735849,9.0
2010-119,4.8076923076923075,9.0
2011-129,2.4615384615384617,9.0
2013-149,2.0943396226415096,9.0
2012-1310,2.8653846153846154,10.0
2017-1810,5.2075471698113205,10.0
2008-0910,2.784313725490196,10.0
2009-1010,1.75,10.0
2016-1710,5.056603773584905,10.0
2013-1410,2.018867924528302,10.0
2015-1610,5.773584905660377,10.0
2018-1910,7.6415094339622645,10.0
2010-1110,3.576923076923077,10.0
2011-1210,2.5961538461538463,10.0
2014-1510,3.1320754716981134,10.0
2016-1711,4.433962264150943,11.0
2018-1911,7.264150943396227,11.0
2011-1211,3.1346153846153846,11.0
2008-0911,2.2941176470588234,11.0
2009-1011,1.6153846153846154,11.0
2012-1311,2.5576923076923075,11.0
2015-1611,4.716981132075472,11.0
2013-1411,1.679245283018868,11.0
2014-1511,2.7169811320754715,11.0
2010-1111,2.4038461538461537,11.0
2017-1811,4.30188679245283,11.0
2013-1412,1.7169811320754718,12.0
2014-1512,2.339622641509434,12.0
2012-1312,1.8653846153846154,12.0
2011-1212,2.076923076923077,12.0
2015-1612,3.7358490566037736,12.0
2017-1812,3.7547169811320753,12.0
2008-0912,1.6862745098039216,12.0
2009-1012,1.3269230769230769,12.0
2018-1912,6.30188679245283,12.0
2010-1112,1.5961538461538463,12.0
2016-1712,4.169811320754717,12.0
2016-1713,3.7358490566037736,13.0
2014-1513,2.1320754716981134,13.0
2010-1113,1.4038461538461537,13.0
2018-1913,5.056603773584905,13.0
2009-1013,1.25,13.0
2013-1413,1.679245283018868,13.0
2012-1313,1.7884615384615385,13.0
2008-0913,1.411764705882353,13.0
2017-1813,3.150943396226415,13.0
2011-1213,1.5961538461538463,13.0
2015-1613,3.2830188679245285,13.0
2011-1214,1.5769230769230769,14.0
