,state,WEBSITE,actlevel,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,season
8,Louisiana,Influenza,0,Insufficient Data,Dec-13-2008,50,2008-09
10,Louisiana,Influenza,0,Insufficient Data,Dec-20-2008,51,2008-09
11,Virginia,Virginia Weekly Influenza Activity Report,0,Insufficient Data,Dec-20-2008,51,2008-09
13,Louisiana,Influenza,0,Insufficient Data,Dec-27-2008,52,2008-09
15,Louisiana,Influenza,0,Insufficient Data,Jan-03-2009,53,2008-09
35,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,May-23-2009,20,2008-09
36,Connecticut,Flu Statistics,0,Insufficient Data,May-23-2009,20,2008-09
38,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,May-30-2009,21,2008-09
39,Connecticut,Flu Statistics,0,Insufficient Data,May-30-2009,21,2008-09
41,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jun-06-2009,22,2008-09
43,Connecticut,Flu Statistics,0,Insufficient Data,Jun-13-2009,23,2008-09
44,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jun-13-2009,23,2008-09
46,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jun-20-2009,24,2008-09
47,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jun-27-2009,25,2008-09
50,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-04-2009,26,2008-09
51,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-11-2009,27,2008-09
54,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-18-2009,28,2008-09
59,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Aug-15-2009,32,2008-09
68,District of Columbia,Influenza Information,0,Insufficient Data,Oct-10-2009,40,2009-10
69,District of Columbia,Influenza Information,0,Insufficient Data,Oct-17-2009,41,2009-10
70,District of Columbia,Influenza Information,0,Insufficient Data,Oct-24-2009,42,2009-10
71,District of Columbia,Influenza Information,0,Insufficient Data,Oct-31-2009,43,2009-10
72,South Dakota,Influenza Information,0,Insufficient Data,Dec-26-2009,51,2009-10
73,South Dakota,Influenza Information,0,Insufficient Data,Jan-09-2010,1,2009-10
74,District of Columbia,Influenza Information,0,Insufficient Data,Apr-03-2010,13,2009-10
75,District of Columbia,Influenza Information,0,Insufficient Data,Mar-27-2010,12,2009-10
76,District of Columbia,Influenza Information,0,Insufficient Data,May-08-2010,18,2009-10
77,District of Columbia,Influenza Information,0,Insufficient Data,May-15-2010,19,2009-10
78,District of Columbia,Influenza Information,0,Insufficient Data,May-22-2010,20,2009-10
79,District of Columbia,Influenza Information,0,Insufficient Data,May-29-2010,21,2009-10
80,South Dakota,Influenza Information,0,Insufficient Data,Jun-05-2010,22,2009-10
81,South Dakota,Influenza Information,0,Insufficient Data,Jun-12-2010,23,2009-10
82,South Dakota,Influenza Information,0,Insufficient Data,Jun-19-2010,24,2009-10
83,South Dakota,Influenza Information,0,Insufficient Data,Jun-26-2010,25,2009-10
84,South Dakota,Influenza Information,0,Insufficient Data,Jul-03-2010,26,2009-10
85,South Dakota,Influenza Information,0,Insufficient Data,Jul-10-2010,27,2009-10
86,South Dakota,Influenza Information,0,Insufficient Data,Jul-17-2010,28,2009-10
87,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Jul-10-2010,27,2009-10
88,South Dakota,Influenza Information,0,Insufficient Data,Jul-24-2010,29,2009-10
89,South Dakota,Influenza Information,0,Insufficient Data,Jul-31-2010,30,2009-10
90,Iowa,Iowa Influenza Surveillance Network,0,Insufficient Data,Aug-14-2010,32,2009-10
91,Iowa,Iowa Influenza Surveillance Network,0,Insufficient Data,Aug-21-2010,33,2009-10
92,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Jul-24-2010,29,2009-10
93,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Sep-04-2010,35,2009-10
94,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Jul-31-2010,30,2009-10
95,Oregon,Influenza Disease Surveillance Data,0,Insufficient Data,Sep-11-2010,36,2009-10
96,Idaho,Influenza,0,Insufficient Data,Sep-18-2010,37,2009-10
97,Maryland,Influenza Surveillance,0,Insufficient Data,Sep-18-2010,37,2009-10
98,Maryland,Influenza Surveillance,0,Insufficient Data,Sep-25-2010,38,2009-10
99,Idaho,Influenza,0,Insufficient Data,Sep-25-2010,38,2009-10
100,Washington,Influenza Update,0,Insufficient Data,Sep-25-2010,38,2009-10
101,Washington,Influenza Update,0,Insufficient Data,Oct-02-2010,39,2009-10
104,Idaho,Influenza,0,Insufficient Data,Oct-02-2010,39,2009-10
105,Maryland,Influenza Surveillance,0,Insufficient Data,Oct-02-2010,39,2009-10
123,District of Columbia,Influenza Information,0,Insufficient Data,Mar-19-2011,11,2010-11
127,District of Columbia,Influenza Information,0,Insufficient Data,Apr-09-2011,14,2010-11
129,District of Columbia,Influenza Information,0,Insufficient Data,Apr-16-2011,15,2010-11
131,District of Columbia,Influenza Information,0,Insufficient Data,Apr-23-2011,16,2010-11
132,District of Columbia,Influenza Information,0,Insufficient Data,Apr-30-2011,17,2010-11
133,District of Columbia,Influenza Information,0,Insufficient Data,May-07-2011,18,2010-11
137,District of Columbia,Influenza Information,0,Insufficient Data,May-14-2011,19,2010-11
138,District of Columbia,Influenza Information,0,Insufficient Data,May-21-2011,20,2010-11
139,Delaware,Weekly Influenza Surveillance Reports,0,Insufficient Data,May-28-2011,21,2010-11
140,District of Columbia,Influenza Information,0,Insufficient Data,May-28-2011,21,2010-11
141,Delaware,Weekly Influenza Surveillance Reports,0,Insufficient Data,Jun-04-2011,22,2010-11
142,District of Columbia,Influenza Information,0,Insufficient Data,Jun-04-2011,22,2010-11
147,District of Columbia,Influenza Information,0,Insufficient Data,Jun-11-2011,23,2010-11
148,District of Columbia,Influenza Information,0,Insufficient Data,Jun-18-2011,24,2010-11
149,District of Columbia,Influenza Information,0,Insufficient Data,Jun-25-2011,25,2010-11
150,District of Columbia,Influenza Information,0,Insufficient Data,Jul-02-2011,26,2010-11
153,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jun-25-2011,25,2010-11
154,Washington,Influenza Update,0,Insufficient Data,Jun-25-2011,25,2010-11
155,Washington,Influenza Update,0,Insufficient Data,Jul-02-2011,26,2010-11
156,District of Columbia,Influenza Information,0,Insufficient Data,Jul-09-2011,27,2010-11
157,District of Columbia,Influenza Information,0,Insufficient Data,Jul-16-2011,28,2010-11
158,District of Columbia,Influenza Information,0,Insufficient Data,Jul-23-2011,29,2010-11
159,Washington,Influenza Update,0,Insufficient Data,Jul-09-2011,27,2010-11
160,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-02-2011,26,2010-11
161,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-16-2011,28,2010-11
162,Washington,Influenza Update,0,Insufficient Data,Jul-16-2011,28,2010-11
163,Washington,Influenza Update,0,Insufficient Data,Jul-23-2011,29,2010-11
164,District of Columbia,Influenza Information,0,Insufficient Data,Jul-30-2011,30,2010-11
165,District of Columbia,Influenza Information,0,Insufficient Data,Aug-06-2011,31,2010-11
166,District of Columbia,Influenza Information,0,Insufficient Data,Aug-13-2011,32,2010-11
167,Iowa,Iowa Influenza Surveillance Network,0,Insufficient Data,Aug-20-2011,33,2010-11
168,District of Columbia,Influenza Information,0,Insufficient Data,Aug-27-2011,34,2010-11
169,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-23-2011,29,2010-11
170,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Jul-30-2011,30,2010-11
171,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Aug-06-2011,31,2010-11
172,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Aug-13-2011,32,2010-11
173,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Aug-20-2011,33,2010-11
174,District of Columbia,Influenza Information,0,Insufficient Data,Aug-20-2011,33,2010-11
175,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Aug-27-2011,34,2010-11
176,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Sep-03-2011,35,2010-11
177,District of Columbia,Influenza Information,0,Insufficient Data,Sep-03-2011,35,2010-11
178,Maryland,Influenza Surveillance,0,Insufficient Data,Sep-10-2011,36,2010-11
179,Washington,Influenza Update,0,Insufficient Data,Sep-03-2011,35,2010-11
180,District of Columbia,Influenza Information,0,Insufficient Data,Sep-10-2011,36,2010-11
181,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Sep-10-2011,36,2010-11
182,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Sep-17-2011,37,2010-11
183,District of Columbia,Influenza Information,0,Insufficient Data,Sep-17-2011,37,2010-11
184,Maryland,Influenza Surveillance,0,Insufficient Data,Sep-17-2011,37,2010-11
185,Louisiana,Influenza,0,Insufficient Data,Sep-17-2011,37,2010-11
186,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Sep-24-2011,38,2010-11
187,District of Columbia,Influenza Information,0,Insufficient Data,Sep-24-2011,38,2010-11
188,District of Columbia,Influenza Information,0,Insufficient Data,Oct-01-2011,39,2010-11
189,Washington,Influenza Update,0,Insufficient Data,Oct-01-2011,39,2010-11
190,Arkansas,Communicable Disease and Immunizations,0,Insufficient Data,Oct-01-2011,39,2010-11
191,Louisiana,Influenza,0,Insufficient Data,Sep-24-2011,38,2010-11
192,District of Columbia,Influenza Information,0,Insufficient Data,Nov-19-2011,46,2011-12
193,District of Columbia,Influenza Information,0,Insufficient Data,Nov-26-2011,47,2011-12
194,District of Columbia,Influenza Information,0,Insufficient Data,Dec-03-2011,48,2011-12
195,District of Columbia,Influenza Information,0,Insufficient Data,Dec-10-2011,49,2011-12
196,District of Columbia,Influenza Information,0,Insufficient Data,Dec-17-2011,50,2011-12
197,District of Columbia,Influenza Information,0,Insufficient Data,Dec-24-2011,51,2011-12
198,District of Columbia,Influenza Information,0,Insufficient Data,Dec-31-2011,52,2011-12
199,District of Columbia,Influenza Information,0,Insufficient Data,Jan-07-2012,1,2011-12
200,District of Columbia,Influenza Information,0,Insufficient Data,Jan-14-2012,2,2011-12
201,District of Columbia,Influenza Information,0,Insufficient Data,Jan-21-2012,3,2011-12
202,District of Columbia,Influenza Information,0,Insufficient Data,Jan-28-2012,4,2011-12
203,District of Columbia,Influenza Information,0,Insufficient Data,Feb-04-2012,5,2011-12
204,District of Columbia,Influenza Information,0,Insufficient Data,Feb-11-2012,6,2011-12
205,District of Columbia,Influenza Information,0,Insufficient Data,Feb-18-2012,7,2011-12
206,District of Columbia,Influenza Information,0,Insufficient Data,Feb-25-2012,8,2011-12
207,District of Columbia,Influenza Information,0,Insufficient Data,Mar-03-2012,9,2011-12
208,District of Columbia,Influenza Information,0,Insufficient Data,Mar-10-2012,10,2011-12
209,District of Columbia,Influenza Information,0,Insufficient Data,Mar-17-2012,11,2011-12
210,District of Columbia,Influenza Information,0,Insufficient Data,Mar-24-2012,12,2011-12
211,District of Columbia,Influenza Information,0,Insufficient Data,Mar-31-2012,13,2011-12
212,District of Columbia,Influenza Information,0,Insufficient Data,Apr-07-2012,14,2011-12
214,District of Columbia,Influenza Information,0,Insufficient Data,Apr-14-2012,15,2011-12
216,District of Columbia,Influenza Information,0,Insufficient Data,Apr-21-2012,16,2011-12
218,District of Columbia,Influenza Information,0,Insufficient Data,Apr-28-2012,17,2011-12
220,District of Columbia,Influenza Information,0,Insufficient Data,May-05-2012,18,2011-12
222,District of Columbia,Influenza Information,0,Insufficient Data,May-12-2012,19,2011-12
224,District of Columbia,Influenza Information,0,Insufficient Data,May-19-2012,20,2011-12
226,District of Columbia,Influenza Information,0,Insufficient Data,May-26-2012,21,2011-12
228,Delaware,Weekly Influenza Surveillance Reports,0,Insufficient Data,Jun-02-2012,22,2011-12
229,District of Columbia,Influenza Information,0,Insufficient Data,Jun-02-2012,22,2011-12
231,Delaware,Weekly Influenza Surveillance Reports,0,Insufficient Data,Jun-09-2012,23,2011-12
232,District of Columbia,Influenza Information,0,Insufficient Data,Jun-09-2012,23,2011-12
233,Idaho,Influenza,0,Insufficient Data,Jul-27-2019,30,2018-19
234,Idaho,Influenza,0,Insufficient Data,Aug-03-2019,31,2018-19
235,Connecticut,Flu Statistics,0,Insufficient Data,Jul-27-2019,30,2018-19
238,Connecticut,Flu Statistics,0,Insufficient Data,Aug-03-2019,31,2018-19
239,Connecticut,Flu Statistics,0,Insufficient Data,Aug-10-2019,32,2018-19
240,Idaho,Influenza,0,Insufficient Data,Aug-10-2019,32,2018-19
241,Idaho,Influenza,0,Insufficient Data,Aug-17-2019,33,2018-19
244,Connecticut,Flu Statistics,0,Insufficient Data,Aug-17-2019,33,2018-19
245,Connecticut,Flu Statistics,0,Insufficient Data,Aug-24-2019,34,2018-19
247,Idaho,Influenza,0,Insufficient Data,Aug-24-2019,34,2018-19
248,Connecticut,Flu Statistics,0,Insufficient Data,Aug-31-2019,35,2018-19
249,Idaho,Influenza,0,Insufficient Data,Aug-31-2019,35,2018-19
250,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Aug-24-2019,34,2018-19
251,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Aug-31-2019,35,2018-19
253,Connecticut,Flu Statistics,0,Insufficient Data,Sep-07-2019,36,2018-19
254,Idaho,Influenza,0,Insufficient Data,Sep-07-2019,36,2018-19
255,Commonwealth of the Northern Mariana Islands,,0,Insufficient Data,Sep-07-2019,36,2018-19
256,Connecticut,Flu Statistics,0,Insufficient Data,Sep-14-2019,37,2018-19
257,Idaho,Influenza,0,Insufficient Data,Sep-14-2019,37,2018-19
260,Connecticut,Flu Statistics,0,Insufficient Data,Sep-21-2019,38,2018-19
261,Idaho,Influenza,0,Insufficient Data,Sep-21-2019,38,2018-19
