Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,,act %,dead,exp %,expected dead
2012,1,8.479120191,8.15718,8.49104,51102,4323,10,,0.000195687,10,0.000188257,9.620314156
2012,2,8.343471606,8.22181,8.55556,50962,4245,7,,0.000137357,7,0.000135354,6.89792843
2012,3,8.370907665,8.27534,8.60898,51010,4261,9,,0.000176436,9,0.000174422,8.897250212
2012,4,8.448458027,8.31696,8.65049,50163,4227,11,,0.000219285,11,0.000215872,10.82878789
2012,5,8.140332473,8.34602,8.67945,49568,4026,9,,0.000181569,9,0.000186157,9.227409353
2012,6,8.109680266,8.36208,8.6954,49854,4024,19,,0.000381113,19,0.000392974,19.59134205
2012,7,8.179700762,8.36486,8.69807,50662,4129,15,,0.00029608,15,0.000302782,15.33954648
2012,8,8.292069481,8.3543,8.6874,50892,4191,29,,0.000569834,29,0.000574111,29.21763989
2012,9,8.406218676,8.33051,8.6635,50879,4234,43,,0.000845142,43,0.000837531,42.61273039
2012,10,8.681513599,8.2938,8.62668,50740,4346,59,,0.001162791,59,0.001110861,56.36507902
2012,11,8.572442062,8.24467,8.57744,50744,4288,62,,0.001221819,62,0.001175102,59.62939572
2012,12,8.349557881,8.18379,8.51646,49308,4060,57,,0.001155999,57,0.001133048,55.86835095
2012,13,7.975231429,8.11203,8.44458,48287,3796,55,,0.001139023,55,0.001158561,55.94341104
2012,14,8.01182038,8.03036,8.36281,48391,3829,48,,0.00099192,48,0.000994215,48.1110736
2012,15,7.70626121,7.93996,8.2723,49064,3758,23,,0.000468775,23,0.000482991,23.69749416
2012,16,7.622300393,7.84208,8.17431,48896,3690,37,,0.000756708,37,0.000778527,38.06684925
2012,17,7.504729435,7.7381,8.07023,48103,3573,37,,0.000769183,37,0.000793102,38.15056925
2012,18,7.437636029,7.6295,7.96152,47784,3527,27,,0.000565043,27,0.000579619,27.69650185
2012,19,7.159214948,7.51781,7.84971,46723,3330,15,,0.000321041,15,0.000337122,15.751329
2012,20,7.117627032,7.4046,7.7364,46996,3329,16,,0.000340455,16,0.000354181,16.64509807
2012,21,7.064485082,7.29147,7.62316,46755,3290,13,,0.000278045,13,0.000286979,13.41769554
2012,22,6.835267023,7.18002,7.5116,46026,3138,8,,0.000173815,8,0.000182582,8.40349906
2012,23,6.638762433,7.07181,7.40328,46349,3068,9,,0.000194179,9,0.000206845,9.587071482
2012,24,6.747456613,6.96838,7.29974,46788,3153,4,,8.5492E-05,4,8.82912E-05,4.130966911
2012,25,6.826656261,6.87116,7.20241,46128,3147,2,,4.33576E-05,2,4.36403E-05,2.013038225
2012,26,6.862425939,6.78153,7.11267,46077,3159,3,,6.51084E-05,3,6.43409E-05,2.964635273
2012,27,6.447052776,6.70073,7.03176,46688,3004,6,,0.000128513,6,0.000133569,6.236086689
2012,28,6.607881559,6.62988,6.96081,45930,3033,2,,4.35445E-05,2,4.36895E-05,2.006658243
2012,29,6.557091542,6.56997,6.90079,45935,3011,1,,2.17699E-05,1,2.18126E-05,1.00196405
2012,30,6.330222982,6.52181,6.85252,45654,2889,1,,2.19039E-05,1,2.25668E-05,1.030265445
2012,31,6.620209059,6.48604,6.81665,45920,3039,1,,2.1777E-05,1,2.13357E-05,0.979733411
2012,32,6.570429829,6.46314,6.79364,46344,3040,5,,0.000107889,5,0.000106127,4.918354026
2012,33,6.583304287,6.45339,6.78377,45904,3018,4,,8.71384E-05,4,8.54188E-05,3.921064389
2012,34,6.425215942,6.45687,6.78715,46193,2964,4,,8.65932E-05,4,8.70198E-05,4.019706144
2012,35,6.523897932,6.47348,6.80365,46322,3017,5,,0.00010794,5,0.000107106,4.961359043
2012,36,6.667666852,6.50294,6.833,46658,3109,2,,4.28651E-05,2,4.18061E-05,1.950589357
2012,37,6.82490659,6.54475,6.87471,46301,3160,0,,0,0,0,0
2012,38,6.72440911,6.59828,6.92812,46413,3120,1,,2.15457E-05,1,2.11416E-05,0.981243094
2012,39,6.784984086,6.66267,6.99241,47443,3217,2,,4.21559E-05,2,4.13959E-05,1.963945653
2012,40,6.711759671,6.67667,7.03999,47901,3210,5,,0.000104382,5,0.000103836,4.973859559
2012,41,6.914860391,6.76134,7.12446,48027,3315,6,,0.00012493,6,0.000122156,5.866790898
2012,42,6.952222701,6.85463,7.21755,48747,3382,7,,0.000143599,7,0.000141583,6.901736619
2012,43,7.086729669,6.95512,7.31783,47723,3376,6,,0.000125726,6,0.000123391,5.888572296
2012,44,6.848223589,7.06129,7.42379,48947,3349,3,,6.12908E-05,3,6.31977E-05,3.093337962
2012,45,6.887515253,7.17154,7.53383,49989,3434,9,,0.00018004,9,0.000187464,9.371138593
2012,46,7.068168108,7.28421,7.6463,49730,3495,20,,0.000402172,20,0.000414464,20.61130943
2012,47,6.981922711,7.39762,7.75951,49399,3430,19,,0.000384623,19,0.000407523,20.13124261
2012,48,7.580785336,7.51007,7.87175,50628,3807,31,,0.000612309,31,0.000606598,30.71082476
2012,49,7.72958051,7.61988,7.98135,51801,3940,64,,0.001235497,64,0.001217963,63.09169293
2012,50,7.897042503,7.7254,8.08667,51361,3959,97,,0.001888593,97,0.001847544,94.89170151
2012,51,8.256341181,7.82505,8.18612,52711,4208,144,,0.002731878,144,0.002589171,136.4777903
2012,52,8.987148214,7.91735,8.27821,54934,4705,232,,0.00422325,232,0.003720529,204.3835437
2013,1,10.16324114,8.00091,8.36156,59115,5599,409,,0.006918718,409,0.005446691,321.9811618
2013,2,11.05025084,8.07448,8.43492,60795,6065,653,,0.010741015,653,0.00784852,477.1507467
2013,3,11.10566522,8.13694,8.49718,59168,5938,633,,0.01069835,633,0.007838507,463.7887887
2013,4,10.62711747,8.18735,8.54739,57852,5646,502,,0.008677315,502,0.006685182,386.7511309
2013,5,10.0729383,8.22494,8.58477,56349,5284,392,,0.006956645,392,0.005680367,320.0830169
2013,6,9.495762103,8.24912,8.60875,55688,5020,268,,0.004812527,268,0.004180719,232.8158747
2013,7,9.360185219,8.25951,8.61893,54422,4885,209,,0.003840359,209,0.003388766,184.4234435
2013,8,8.877543387,8.25591,8.61512,53472,4580,167,,0.00312313,167,0.002904439,155.3061371
2013,9,8.732118288,8.23833,8.59734,53057,4485,148,,0.002789453,148,0.002631713,139.6308204
2013,10,8.474735165,8.20699,8.5658,53335,4417,103,,0.00193119,103,0.001870177,99.74588628
2013,11,8.510156736,8.16231,8.52091,53019,4403,109,,0.002055867,109,0.001971835,104.5447008
2013,12,8.194895235,8.10488,8.46328,52069,4184,83,,0.001594039,83,0.001576529,82.08830262
2013,13,8.176780646,8.03551,8.3937,51793,4179,56,,0.001081227,56,0.001062547,55.03248521
2013,14,7.989479836,7.95515,8.31313,51330,4051,50,,0.000974089,50,0.000969904,49.785156
2013,15,7.810748628,7.86492,8.2227,50853,3937,35,,0.000688258,35,0.000693032,35.24274216
2013,16,7.767617433,7.76609,8.12366,49539,3826,22,,0.000444095,22,0.000444007,21.9956739
