,actlevel,X,WEEK,SEASON
2099,1,2008-091,1,2008-09
2100,1,2008-091,1,2008-09
2101,1,2008-091,1,2008-09
2102,1,2008-091,1,2008-09
2103,1,2008-091,1,2008-09
2104,1,2008-091,1,2008-09
2105,1,2008-091,1,2008-09
2106,1,2008-091,1,2008-09
2107,1,2008-091,1,2008-09
2108,1,2008-091,1,2008-09
2109,1,2008-091,1,2008-09
2110,1,2008-091,1,2008-09
2111,1,2008-091,1,2008-09
2112,1,2008-091,1,2008-09
2113,1,2008-091,1,2008-09
2114,1,2008-091,1,2008-09
2115,1,2008-091,1,2008-09
2116,1,2008-091,1,2008-09
2117,1,2008-091,1,2008-09
2118,1,2008-091,1,2008-09
2119,1,2008-091,1,2008-09
2120,1,2008-091,1,2008-09
2121,1,2008-091,1,2008-09
2122,1,2008-091,1,2008-09
2123,1,2008-091,1,2008-09
2124,1,2008-091,1,2008-09
2125,1,2008-091,1,2008-09
2126,1,2008-091,1,2008-09
2127,1,2008-091,1,2008-09
2128,1,2008-091,1,2008-09
2129,1,2008-091,1,2008-09
2130,1,2008-091,1,2008-09
2131,1,2008-091,1,2008-09
2132,1,2008-091,1,2008-09
2133,1,2008-091,1,2008-09
2134,1,2008-091,1,2008-09
2135,1,2008-091,1,2008-09
2136,1,2008-091,1,2008-09
2137,1,2008-091,1,2008-09
2138,1,2008-091,1,2008-09
2139,1,2008-091,1,2008-09
2140,1,2008-091,1,2008-09
2141,1,2008-091,1,2008-09
2142,1,2008-091,1,2008-09
2143,1,2008-091,1,2008-09
2144,1,2008-091,1,2008-09
2145,2,2008-091,1,2008-09
2146,2,2008-091,1,2008-09
2147,3,2008-091,1,2008-09
2148,3,2008-091,1,2008-09
2149,4,2008-091,1,2008-09
2150,1,2008-092,2,2008-09
2151,1,2008-092,2,2008-09
2152,1,2008-092,2,2008-09
2153,1,2008-092,2,2008-09
2154,1,2008-092,2,2008-09
2155,1,2008-092,2,2008-09
2156,1,2008-092,2,2008-09
2157,1,2008-092,2,2008-09
2158,1,2008-092,2,2008-09
2159,1,2008-092,2,2008-09
2160,1,2008-092,2,2008-09
2161,1,2008-092,2,2008-09
2162,1,2008-092,2,2008-09
2163,1,2008-092,2,2008-09
2164,1,2008-092,2,2008-09
2165,1,2008-092,2,2008-09
2166,1,2008-092,2,2008-09
2167,1,2008-092,2,2008-09
2168,1,2008-092,2,2008-09
2169,1,2008-092,2,2008-09
2170,1,2008-092,2,2008-09
2171,1,2008-092,2,2008-09
2172,1,2008-092,2,2008-09
2173,1,2008-092,2,2008-09
2174,1,2008-092,2,2008-09
2175,1,2008-092,2,2008-09
2176,1,2008-092,2,2008-09
2177,1,2008-092,2,2008-09
2178,1,2008-092,2,2008-09
2179,1,2008-092,2,2008-09
2180,1,2008-092,2,2008-09
2181,1,2008-092,2,2008-09
2182,1,2008-092,2,2008-09
2183,1,2008-092,2,2008-09
2184,1,2008-092,2,2008-09
2185,1,2008-092,2,2008-09
2186,1,2008-092,2,2008-09
2187,1,2008-092,2,2008-09
2188,1,2008-092,2,2008-09
2189,1,2008-092,2,2008-09
2190,1,2008-092,2,2008-09
2191,1,2008-092,2,2008-09
2192,1,2008-092,2,2008-09
2193,1,2008-092,2,2008-09
2194,1,2008-092,2,2008-09
2195,2,2008-092,2,2008-09
2196,2,2008-092,2,2008-09
2197,3,2008-092,2,2008-09
2198,3,2008-092,2,2008-09
2199,3,2008-092,2,2008-09
2200,6,2008-092,2,2008-09
2201,1,2008-093,3,2008-09
2202,1,2008-093,3,2008-09
2203,1,2008-093,3,2008-09
2204,1,2008-093,3,2008-09
2205,1,2008-093,3,2008-09
2206,1,2008-093,3,2008-09
2207,1,2008-093,3,2008-09
2208,1,2008-093,3,2008-09
2209,1,2008-093,3,2008-09
2210,1,2008-093,3,2008-09
2211,1,2008-093,3,2008-09
2212,1,2008-093,3,2008-09
2213,1,2008-093,3,2008-09
2214,1,2008-093,3,2008-09
2215,1,2008-093,3,2008-09
2216,1,2008-093,3,2008-09
2217,1,2008-093,3,2008-09
2218,1,2008-093,3,2008-09
2219,1,2008-093,3,2008-09
2220,1,2008-093,3,2008-09
2221,1,2008-093,3,2008-09
2222,1,2008-093,3,2008-09
2223,1,2008-093,3,2008-09
2224,1,2008-093,3,2008-09
2225,1,2008-093,3,2008-09
2226,1,2008-093,3,2008-09
2227,1,2008-093,3,2008-09
2228,1,2008-093,3,2008-09
2229,1,2008-093,3,2008-09
2230,1,2008-093,3,2008-09
2231,1,2008-093,3,2008-09
2232,1,2008-093,3,2008-09
2233,1,2008-093,3,2008-09
2234,1,2008-093,3,2008-09
2235,1,2008-093,3,2008-09
2236,1,2008-093,3,2008-09
2237,1,2008-093,3,2008-09
2238,1,2008-093,3,2008-09
2239,1,2008-093,3,2008-09
2240,1,2008-093,3,2008-09
2241,1,2008-093,3,2008-09
2242,1,2008-093,3,2008-09
2243,2,2008-093,3,2008-09
2244,2,2008-093,3,2008-09
2245,2,2008-093,3,2008-09
2246,3,2008-093,3,2008-09
2247,4,2008-093,3,2008-09
2248,4,2008-093,3,2008-09
2249,4,2008-093,3,2008-09
2250,5,2008-093,3,2008-09
2251,8,2008-093,3,2008-09
2252,1,2008-094,4,2008-09
2253,1,2008-094,4,2008-09
2254,1,2008-094,4,2008-09
2255,1,2008-094,4,2008-09
2256,1,2008-094,4,2008-09
2257,1,2008-094,4,2008-09
2258,1,2008-094,4,2008-09
2259,1,2008-094,4,2008-09
2260,1,2008-094,4,2008-09
2261,1,2008-094,4,2008-09
2262,1,2008-094,4,2008-09
2263,1,2008-094,4,2008-09
2264,1,2008-094,4,2008-09
2265,1,2008-094,4,2008-09
2266,1,2008-094,4,2008-09
2267,1,2008-094,4,2008-09
2268,1,2008-094,4,2008-09
2269,1,2008-094,4,2008-09
2270,1,2008-094,4,2008-09
2271,1,2008-094,4,2008-09
2272,1,2008-094,4,2008-09
2273,1,2008-094,4,2008-09
2274,1,2008-094,4,2008-09
2275,1,2008-094,4,2008-09
2276,1,2008-094,4,2008-09
2277,1,2008-094,4,2008-09
2278,1,2008-094,4,2008-09
2279,1,2008-094,4,2008-09
2280,1,2008-094,4,2008-09
2281,1,2008-094,4,2008-09
2282,1,2008-094,4,2008-09
2283,1,2008-094,4,2008-09
2284,1,2008-094,4,2008-09
2285,1,2008-094,4,2008-09
2286,1,2008-094,4,2008-09
2287,1,2008-094,4,2008-09
2288,2,2008-094,4,2008-09
2289,2,2008-094,4,2008-09
2290,2,2008-094,4,2008-09
2291,2,2008-094,4,2008-09
2292,2,2008-094,4,2008-09
2293,2,2008-094,4,2008-09
2294,3,2008-094,4,2008-09
2295,3,2008-094,4,2008-09
2296,4,2008-094,4,2008-09
2297,4,2008-094,4,2008-09
