x,actlevel,week,season
Week:1  Year:2008-09,1.1764705882352942,1.0,200809.0
Week:2  Year:2008-09,1.2549019607843137,2.0,200809.0
Week:3  Year:2008-09,1.4901960784313726,3.0,200809.0
Week:4  Year:2008-09,1.9215686274509804,4.0,200809.0
Week:5  Year:2008-09,2.8627450980392157,5.0,200809.0
Week:6  Year:2008-09,3.843137254901961,6.0,200809.0
Week:7  Year:2008-09,3.803921568627451,7.0,200809.0
Week:8  Year:2008-09,3.980392156862745,8.0,200809.0
Week:9  Year:2008-09,3.6862745098039214,9.0,200809.0
Week:10  Year:2008-09,2.784313725490196,10.0,200809.0
Week:11  Year:2008-09,2.2941176470588234,11.0,200809.0
Week:12  Year:2008-09,1.6862745098039216,12.0,200809.0
Week:13  Year:2008-09,1.411764705882353,13.0,200809.0
Week:14  Year:2008-09,1.2549019607843137,14.0,200809.0
Week:15  Year:2008-09,1.2156862745098038,15.0,200809.0
Week:16  Year:2008-09,1.0980392156862746,16.0,200809.0
Week:17  Year:2008-09,2.6470588235294117,17.0,200809.0
Week:18  Year:2008-09,2.1176470588235294,18.0,200809.0
Week:19  Year:2008-09,1.7058823529411764,19.0,200809.0
Week:20  Year:2008-09,1.5098039215686274,20.0,200809.0
Week:21  Year:2008-09,1.5490196078431373,21.0,200809.0
Week:22  Year:2008-09,1.607843137254902,22.0,200809.0
Week:23  Year:2008-09,1.6862745098039216,23.0,200809.0
Week:24  Year:2008-09,1.9215686274509804,24.0,200809.0
Week:25  Year:2008-09,1.6470588235294117,25.0,200809.0
Week:26  Year:2008-09,1.607843137254902,26.0,200809.0
Week:27  Year:2008-09,1.2745098039215685,27.0,200809.0
Week:28  Year:2008-09,1.2352941176470589,28.0,200809.0
Week:29  Year:2008-09,1.1372549019607843,29.0,200809.0
Week:30  Year:2008-09,1.0980392156862746,30.0,200809.0
Week:31  Year:2008-09,1.0588235294117647,31.0,200809.0
Week:32  Year:2008-09,1.0784313725490196,32.0,200809.0
Week:33  Year:2008-09,1.6666666666666667,33.0,200809.0
Week:34  Year:2008-09,2.588235294117647,34.0,200809.0
Week:40  Year:2008-09,1.0980392156862746,40.0,200809.0
Week:41  Year:2008-09,1.0,41.0,200809.0
Week:42  Year:2008-09,1.0,42.0,200809.0
Week:43  Year:2008-09,1.0588235294117647,43.0,200809.0
Week:44  Year:2008-09,1.1176470588235294,44.0,200809.0
Week:45  Year:2008-09,1.1176470588235294,45.0,200809.0
